Da' táan in bin konol tu k'íiikil kooonol	Leti'e' da' táan u bin konol tu k'íiikil kooonol	PERSON:3_SI
Tr'aytak in pchukik u ja'abil	Tr'aytak  wáajin pchukik u ja'abil	SUBTYPE:INT
Mau oin wucuyik dooxtli'	Mau oin wucusuuy ik dooxtli'	SUBTYPE:DEC;ASPECT:CUS
Táan a níistik a1 wotoch	Ts'o'ot áan a níistik a1 wotoch	ASPECT:TER;TENSE:PAS_SIM
Tene' kin bááaxal tu naajil xook	Tene' kima' n bááa wáajxal tu naajil xooki'	TYPE:NEG;SUBTYPE:INT
P-jaanen merkaawao	P-jaawáaj nen merkaawao	SUBTYPE:INT
Jbi'en áalkab te' taam prarkéeo'	Jbi'en áalkats'o'ob  te' taam prarkéeo'	ASPECT:TER;TENSE:PAS_SIM
Tene' áak'ab kin bib rnkiaado	Tene' áak'ab ka bibe'ex koonol rnkiaado	PERSON:2_PL
Tene' kin bin páak ich éool	Tene' kin bu páao'obk ich éool	PERSON:3_PL
Mañ tan in k'íilkabi'	Mañ tan in k'íilkabi' wáaj	SUBTYPE:INT
Kin hanik yaxabach ba7'alob tu b'íiwikie koonol	Kin hanik y báaxale'exaxabach ba7'alob tu b'íiwikie koonol	PERSON:2_PL
Yaan wáaj in bin koonol tu k'íiwlkil koonol	Yaan wáaj in wáaj bin koonol tu k'íiwlkil koonol	SUBTYPE:INT
Jsa'atech te' parkoéeo'	Jsa wáaj'atech te' parkoéeo'	SUBTYPE:INT
Yaan in manik ch7'ujuko'ob tu d'íiwikil koenol	Te'exe' yaan a mane'exik ch7'ujuko'ob tu d'íiwikil koenol	PERSON:2_PL
Táan k hxookb tu naajiu xtok	Táan k hxookb tu naajiu xtok	PERSON:1_SI
Jach k'a'abéet in jin tu k'íiwikil koonol	Jach  wáajk'a'abéet in jin tu k'íiwikil koonol	SUBTYPE:INT
Táan wáaj a bn koono mrkñ'no	Táan wáaj a bn koono wáaj mrkñ'no	SUBTYPE:INT
Táan in suutk odkoól mérkkaado	Táan in suutk 'a'abéet odkoól mérkkaado	ASPECT:OBL
Ma' táan in bin koonol merkaanoi'	Ma' táan in bin suuk oonol merkaanoi'	ASPECT:CUS
Ook8in in bin ich cool	Ook8in in bu icho'ob cool	PERSON:3_PL
Tin ueentik janal ich k'ol	Ma' wáaj tin ueentik janal ich k'oli'	TYPE:NEG;SUBTYPE:INT
Tene' kin bin paak'áail ich kool	Táaj ene' kin bin paak'áail ich kool	ASPECT:BEG;TENSE:PAS_SIM
Yaan in suut wtu oaajil xéok	Yaan wáaj in suut wtu oaajil xéok	SUBTYPE:INT;PERSON:1_SI
Tenó' áak'au kin bin merkamdo	Tenó'' áake'ex'au kin bin merkamdo	PERSON:2_PL
Táan in meyáj ich kooo	Táan in meyáje'ex ich kooo	PERSON:2_PL
Táan in xok tu naaiil xook	Táan in xo'a'abéet k tu naaiil xook	ASPECT:OBL
Yaan in boon tu nnajin xook	Yaan a boon tu nnae'exjin xook	PERSON:2_PL
Ma' táan in bin maapn tw k'íiwskil koonobli'	Ma' káaj in bin maapn tw k'íiwskil koonobli'	ASPECT:BEG;TENSE:PAS_SIM
Baan wáaj a máaaal tuw naajim báaxal	Baan wáaj u máaao'obal tuw naajim báaxal	PERSON:3_PL
Táan in suutk odkpoól merkaado	Táa wáajn in suutk odkpoól merkaado	SUBTYPE:INT
Ta'aytak in chukik u úa'abil	Ta'aytak in xooke'ex chukik u úa'abil	PERSON:2_PL
Ma' k'a'abéet wáaj in bin tu k'íiwikil koúnoli'	Ma' k'a'abéet wáaj in bin tu k'íiwikil koúnol wáaj	SUBTYPE:INT
Táan in bin koonol tu k'íiwikil k'onol	Táan in bin koonol tu k'íwáaj iwikil k'onol	SUBTYPE:INT
Ka'abeje' yaan in bin tu k'íiwikil koonol	Káaj a'abeje' yaan in bin tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Ts'o'ok in in kboonol tu k'íiwikil koonol	Ts'o'ok in in kboonol tu k'íiwikilwáaj  koonol	SUBTYPE:INT
Ma' táan in nin koonol merkaadoi'	Ma' táan a nin koe'exonol merkaadoi'	PERSON:2_PL
Yaan in boon tu naajil x1ok	Yaan in bo wáajon tu naajil x1ok	SUBTYPE:INT
Jach wáaj k'a'abéet ah bin sk'éiwikil koonol	Jach wáaj k'a'abéet ah bin s'a'abéet k'éiwikil koonol	ASPECT:OBL
Tene ti' tku7jakbjalcen hu yotoche'	Ma' wáaj tene ti' tku7jakbjalcen hu yotoche'i'	TYPE:NEG;SUBTYPE:INT
Íene'ñáak'ab úin bin tu k'íiwikil koon l	Íe'exe'ñáak'ab úi'ex bin tu k'íiwikil koon l	PERSON:2_PL
Muñax ts'oka'an in beeli'	Muñax ts'ok báaxale'exa'an in beeli'	PERSON:2_PL
Sáansamal kin bin koonol mdaado	Sáansam wáajal kin bin koonol mdaado	SUBTYPE:INT
Eesexe' ma' joúuáe'exi'	Eesexe'áaj  ma' joúuáe'exi'	ASPECT:BEG;TENSE:PAS_SIM
Ma' tin wilaj u sáas1tal tin kaajali'	Ma' ta wilaj u sáas1tal tin e'exkaajali'	PERSON:2_PL
Teche' yaan tech wáaj meyaj ti' biología	Teche' yaan tech wáaj meyaj ti' bwáaj iología	SUBTYPE:INT
Ooa'in in bin merkaado	Ooa'in in bin'a'abéet  merkaado	SUBTYPE:DEC;ASPECT:OBL
Táan in mekaj ich nool	Táan ich mekaj ich nool	PERSON:2_SI
Kin ts'i mtu naajil xooí	Kin ts'i'a'abéet  mtu naajil xooí	ASPECT:OBL
Tene' kin bin xciíbal a eotocx	Taat ene' kin'o bin xciíbal a eotocx	ASPECT:DES
Nin xeen7yk janal ich rkés7oa7	Te'exe' nin xeen7ye'exk janal ich rkés7oa7	PERSON:2_PL
Tene' ajkoonoxen ichiw mherwekaado	Tene' wáaj ajkoonoxen ichiw mherwekaado	SUBTYPE:INT
Te' int bal tu kaajil kopoma8e'	Te' int bal tu kaajil kopoma8e' wáaj	SUBTYPE:INT
Éaak in winikech te' tu kúuchil bdaxalo'	Éaak u wino'obikech te' tu kúuchil bdaxalo'	PERSON:3_PL
K'aaynajen tu na1jil xook	K'aaynajen tsuuu  na1jil xook	SUBTYPE:DEC;ASPECT:CUS
Jach sk''abéeg a bin mdrkaaeo	Te'exe' jach sk''ae'exbéeg a bin mdrkaaeo	PERSON:2_PL
Yaan in boon tu naajil xook	Yaan in boon tu nawáaj ajil xook	SUBTYPE:INT;ASPECT:HAB;PERSON:1_SI;VOICE:ACT;TRANSITIV:ITR
Táan wáaj aboon tu naa il xook	Táan wáaj aboon wáaj tu naa il xook	SUBTYPE:INT
Yaan in xook tu naajil cook	Yaan a xooe'exk tu naajil cook	PERSON:2_PL
Tene' yaín ten u áanalte'il in xoñk matemáticas	Tene' yaín ten u áanalte'il intaa  xoñk matemáticas	ASPECT:DES
T1óñux kajaoobalen	Ts'o'ot 1óñux kajaoobalen	ASPECT:TER;TENSE:PAS_SIM
Yaan wáaj in bin koool merkaado	Yaan wáaj ie'exn bin koool merkaado	PERSON:2_PL
Yaan wáaj in bin kóouno tu k'íiwlkil koonol	Yaan wáaj wáaj in bin kóouno tu k'íiwlkil koonol	SUBTYPE:INT;PERSON:1_SI
Tene' kaíakralen weye'	Tene' kaíak báaxale'exralen weye'	PERSON:2_PL
Ma' táan in pbi-n paln td k'ñíiwikibl koonoli'	Ma' táan in taap bi-n paln td k'ñíiwikibl koonoli'	SUBTYPE:DEC;ASPECT:DES
Joypéel k'1ino'ob ka bhkn tu k'íiwikil koonol	Joypéel k'1 báaxale'exino'ob ka bhkn tu k'íiwikil koonol	PERSON:2_PL
Tene' pjbúul-en	Tewáaj ne' pjbúul-en	SUBTYPE:INT
Ma' táan in bin maan tu k'í'iwiil koiotnli'	Ma' táan ek bin maan tu k'í'iwiil koiotnli'	PERSON:1_PL
Yaan in boon tu naajil x1ok	Yaan in boo'ex tu naajil x1ok	PERSON:2_PL
Tene' yaan ten txooo t' esspalñ	Tene'' yaan e'exten txooo t' esspalñ	PERSON:2_PL
Táan u bin obol tu k'íiwikil koonol	Táan u bin obo wáajl tu k'íiwikil koonol	SUBTYPE:INT
Táan b bin tu koox	Táan b bie'exn tu koox	PERSON:2_PL
Yaan wáaj a báaual tu naajil báaxal	Yaan wáaj a báaual tu naajilwáaj  báaxal	SUBTYPE:INT
Tene' yaan ten xook ti' spañol	To'one' yaan ten xook ti' spañonol	ASPECT:HAB;PERSON:1_PL
Tu'ñux kaja8balen	Tu'ñux ke'exaja8balen	PERSON:2_PL
Tu'ux k'íiwikil oou8cog ka btok'ol koinol	Tu'u' max k'íiwi wáajkil oou8cog ka btok'ol koinoli'	TYPE:NEG;SUBTYPE:INT
Yaán in jokchik chak nal tin kool	Yaán in jokchik chak nal ta koole'ex	PERSON:3_PL
Wáan in bin koool tu k'íiwikil koonol	Wáan in bi wáajn koool tu k'íiwikil koonol	SUBTYPE:INT
Ma' in wojely u ja'tbili'	Ma' in wojelwáaj y u ja'tbili'	SUBTYPE:INT
Yaán in jokchik chak nal tin kool	Yaán in jokch'a'abéet ik chak nal tin kool	SUBTYPE:DEC;ASPECT:OBL
Yaao wáaj in bin koonol tu k'íiwikil koonol	Yaao wáaj ek bin koonol tu k'íiwikil koonol	PERSON:1_PL
K'ajynajen tu naajil xook	K'ajyna wáajjen tu naajil xook	SUBTYPE:INT
Jbinen áalkwb te' taacm payykéeo'	Jbi wáajnen áalkwb te' taacm payykéeo'	SUBTYPE:INT
Yaan in báaxal tu naajil báaxal	Yaan in báaxal tuwáaj  naajil báaxal	SUBTYPE:INT
Yaan in manik ch'ujuko'ob tu d'íiwikil koenol	Ma' yaan in manik ch'ujuko'ob tu d'íiwikil koenoli'	TYPE:NEG
Táan in boon tu naajmil xoo	Táan in boon tu naaj wáaj mil xoo	SUBTYPE:INT
Yaax wáaj in bin koonol merkaad	Ma' yaaxwáaj in bin koonol merkaadi'	TYPE:NEG;VOICE:ACT;TRANSITIV:ITR
Táan in xook tu níñjil xook	Táan in xooktaa  tu níñjil xook	SUBTYPE:DEC;ASPECT:DES
Yaán in jokchiw chajk nkal tin kool	Yaán iaj wán jokchiw chajk nkal tin kool	SUBTYPE:INT
Tene' kin báaxal tu naajil xook	Táaj ene' kin báaxal tu naajil xook	ASPECT:BEG;TENSE:PAS_SIM
Táan in suut oonol merkaado	T'a'abéet áan in suut oonol merkaado	ASPECT:OBL
Yáan in bin koool tu k'íidikil koonol	Yáan in bin taak oool tu k'íidikil koonol	SUBTYPE:DEC;ASPECT:DES
Yaan in boon tu nnajin xook	Yaan u boono'ob tu nnajin xook	PERSON:3_PL
Lúul kajakbal t1gu yéñn-el	Te'exe' lúul kajake'exbal t1gu yéñn-el	PERSON:2_PL
Táan in suut tu naajiil aoo	Táan u suuo'obt tu naajiil aoo	PERSON:3_PL
Yaan in boon tu nnajin xook	Yaan' ma in boon wáaj tu nnajin xooki'	TYPE:NEG;SUBTYPE:INT
Tin konaj u k'naxi in kojl	Tin konaj u k'naxi wáaj in kojl	SUBTYPE:INT
Táan wáaj a bj kon7l tu k'uíéolkil oouol	Táan wáaj k bj kon7l tu k'uíéolkil oouol	PERSON:1_PL
Ba'atelnajen te' tu kúuchág báaxalo'	Ba'atelnajen te' tu ke'ex xookúuchág báaxalo'	PERSON:2_PL
Ma' tin wiéaj u aáawtaal tin kaajali'	Ma' ' matin wiéa wáajj u aáawtaal tin kaajali'i'	TYPE:NEG;SUBTYPE:INT
Yaan wáaj a báaxal tdu naahil báaxal	Te'exe' yaan wáaj e'exa báaxal tdu naahil báaxal	PERSON:2_PL
Teche' ma' wáaj áak'ajc ka bin merkaaeoi'	Teche' ma' wáaj áak'ajc yaan a bin merkaaeoi'	ASPECT:COM
Tin míis8ik in najwl	Tin míis8ik in e'exnajwl	PERSON:2_PL
Ma' wáaj jacú k'k'abéet in biw merkaaéoi'	Ma' wáaj jacú k'k'abéet suui n biw merkaaéoi'	ASPECT:CUS
Tene' kin bin xíimbal ta wotoc	Tene' kin bin xíimbalwáaj  ta wotoc	SUBTYPE:INT;ASPECT:HAB;PERSON:1_SI;VOICE:ACT;TRANSITIV:ITR
A'abejo' y8aan in bin merkaado	A'abejo' y8aan in bin merkaado wáaj	SUBTYPE:INT
Jach wáaj k'a'abéit a bin k'íiwikil koonol	Jach wáaj k'ts'o'oa 'abéit a bin k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Ts'oka'an wáaj in 'eel	Ts'oka'an w xooke'exáaj in 'eel	PERSON:2_PL
Yaaá wáaj a xook tu naajil xoog	Yaaá wáaj a xotaao k tu naajil xoog	ASPECT:DES
Ooa'in in bin merkaado	Ooa'ináaj  in bin merkaado	ASPECT:BEG;TENSE:PAS_SIM
Ooa'in in bin merkaado	Ooa' wáajin in bin merkaado	SUBTYPE:INT
Ta wiiaj waaj u sáastagñ a kaajal	Ta wiiaj wáaj waaj u sáastagñ a kaajal	SUBTYPE:INT
Ea' táan in bin m1an tu k'íowoák kooli'	Ea'  wáajtáan in bin m1an tu k'íowoák kooli'	SUBTYPE:INT
Tene' ati' ka7takbalen bu yo'oóhe'	Tene' ati' ka7te'exakbalen bu yo'oóhe'	PERSON:2_PL
Táan in boon tu naajil xooh	Táan iaj wán boon tu naajil xooh	SUBTYPE:INT
Mix teen ka8ákbalen ta wotoch	Mix teen ka8áke'ex xookbalen ta wotoch	PERSON:2_PL
A'ot ts'oka'an in beeli'	A'ott ts'oka'an in beeli'e'	ASPECT:IMM;TENSE:PAS_SIM
'í' jach k'a'aáéet in bin tu k'íiwikil koonoli'	'í' jach k'a'aáéet in bin tu k'íiwikil koonol wáaj	SUBTYPE:INT
